# Google_Product_Taxonomy_Version: 2015-02-19
Adultos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Kumquats
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Laranjas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limequats
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Limões
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Tangelos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Frutas cítricas > Toranjas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Goiabas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Graviolas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Homli
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Kiwis
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Lichias
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Longans
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Mangostões
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Maracujás
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Marmelos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Maçãs
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Medronho
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Melões
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Misturas de frutas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Nêsperas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Papaias
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Peras
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Peras espinhosas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Pitaias
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Frutas frescas e congeladas > Rambutões
